Time,Open,High,Low,Close
2026-07-14 06:00:00,4016.77,4023.27,4013.54,4020.35
2026-07-14 07:00:00,4020.5,4034.34,4018.94,4031.38
2026-07-14 08:00:00,4031.35,4033.27,4021.32,4023.22
2026-07-14 09:00:00,4023.59,4029.47,4019.67,4020.08
2026-07-14 10:00:00,4020.75,4023.96,4014.64,4015.43
2026-07-14 11:00:00,4015.51,4024.42,4013.23,4021.67
2026-07-14 12:00:00,4021.58,4022.19,4014.27,4020.87
2026-07-14 13:00:00,4021.04,4031.73,4014.85,4030.66
2026-07-14 14:00:00,4030.64,4099.64,4022.33,4075.69
2026-07-14 15:00:00,4075.63,4088.22,4070.45,4076.73
2026-07-14 16:00:00,4076.71,4089.71,4070.73,4084.61
2026-07-14 17:00:00,4084.56,4100.24,4064.02,4065.49
2026-07-14 18:00:00,4065.52,4066.78,4057.1,4061.04
2026-07-14 19:00:00,4061.08,4064.7,4053.98,4062.92
2026-07-14 20:00:00,4062.71,4062.82,4042.38,4053.64
2026-07-14 21:00:00,4053.85,4057.08,4047.55,4055.1
2026-07-14 22:00:00,4055.19,4056.07,4048.83,4051.76
2026-07-15 00:00:00,4052.64,4053.14,4047.48,4048.51
2026-07-15 01:00:00,4048.54,4056.09,4046.16,4052.87
2026-07-15 02:00:00,4053.3,4060.71,4050.72,4059.0
2026-07-15 03:00:00,4059.35,4061.85,4035.61,4037.29
2026-07-15 04:00:00,4037.27,4041.71,4029.33,4035.39
2026-07-15 05:00:00,4035.28,4040.39,4027.48,4030.59
2026-07-15 06:00:00,4030.52,4035.2,4027.61,4033.14
2026-07-15 07:00:00,4033.6,4036.72,4021.53,4034.85
2026-07-15 08:00:00,4035.19,4035.19,4020.7,4031.55
2026-07-15 09:00:00,4031.6,4034.44,4019.06,4024.13
2026-07-15 10:00:00,4024.2,4033.07,4016.62,4030.43
2026-07-15 11:00:00,4030.81,4033.75,4024.87,4029.81
2026-07-15 12:00:00,4029.67,4036.1,4025.88,4027.75
2026-07-15 13:00:00,4027.62,4039.58,4027.21,4037.77
2026-07-15 14:00:00,4037.89,4071.17,4035.6,4067.81
2026-07-15 15:00:00,4067.83,4074.03,4054.16,4060.71
2026-07-15 16:00:00,4060.91,4066.03,4052.59,4059.45
2026-07-15 17:00:00,4059.85,4062.06,4039.64,4046.97
2026-07-15 18:00:00,4046.96,4048.01,4026.22,4033.89
2026-07-15 19:00:00,4034.18,4066.39,4032.59,4061.54
2026-07-15 20:00:00,4061.86,4081.44,4057.49,4058.47
2026-07-15 21:00:00,4058.42,4062.84,4047.22,4056.6
2026-07-15 22:00:00,4056.57,4062.8,4054.63,4059.72
2026-07-16 00:00:00,4064.3,4064.64,4057.62,4059.6
2026-07-16 01:00:00,4059.49,4062.13,4054.82,4056.97
2026-07-16 02:00:00,4057.19,4061.24,4043.76,4044.51
2026-07-16 03:00:00,4044.57,4049.9,4033.11,4039.14
2026-07-16 04:00:00,4039.3,4040.02,4023.23,4030.73
2026-07-16 05:00:00,4030.68,4036.8,4027.26,4035.56
2026-07-16 06:00:00,4035.62,4037.98,4031.19,4032.84
2026-07-16 07:00:00,4032.6,4033.98,4024.33,4026.99
2026-07-16 08:00:00,4027.02,4036.1,4023.0,4030.54
2026-07-16 09:00:00,4030.66,4031.3,4022.93,4030.14
2026-07-16 10:00:00,4030.0,4036.34,4024.52,4034.79
2026-07-16 11:00:00,4034.65,4037.64,4030.52,4031.77
2026-07-16 12:00:00,4031.78,4034.61,4027.89,4028.69
2026-07-16 13:00:00,4029.06,4042.43,4020.84,4037.82
2026-07-16 14:00:00,4037.92,4043.07,3990.41,3992.09
2026-07-16 15:00:00,3991.78,4008.47,3973.68,3989.98
2026-07-16 16:00:00,3989.58,4006.2,3986.42,3997.65
2026-07-16 17:00:00,3997.81,4016.11,3988.93,4006.97
2026-07-16 18:00:00,4007.27,4007.69,3981.76,3991.76
2026-07-16 19:00:00,3991.95,3992.38,3979.53,3984.67
2026-07-16 20:00:00,3984.73,3990.57,3975.9,3980.43
2026-07-16 21:00:00,3980.6,3986.03,3969.04,3979.99
2026-07-16 22:00:00,3979.91,3980.04,3971.51,3976.0
2026-07-17 00:00:00,3978.2,3980.05,3972.47,3978.28
2026-07-17 01:00:00,3978.19,3986.19,3974.68,3985.55
2026-07-17 02:00:00,3985.58,3991.95,3980.1,3991.82
2026-07-17 03:00:00,3991.96,3996.05,3979.11,3983.06
2026-07-17 04:00:00,3983.27,3987.23,3970.72,3979.08
2026-07-17 05:00:00,3978.8,4008.79,3977.9,3991.1
2026-07-17 06:00:00,3990.99,3991.48,3979.52,3981.87
2026-07-17 07:00:00,3981.8,3991.4,3974.75,3984.82
2026-07-17 08:00:00,3984.98,4006.6,3984.82,3999.11
2026-07-17 09:00:00,3998.99,4002.65,3992.28,3992.6
2026-07-17 10:00:00,3992.84,3999.92,3987.14,3994.22
2026-07-17 11:00:00,3994.19,4002.34,3992.42,3997.47
2026-07-17 12:00:00,3997.66,3998.72,3989.92,3990.93
2026-07-17 13:00:00,3991.43,3998.38,3990.02,3994.06
2026-07-17 14:00:00,3994.15,3995.3,3963.55,3966.15
2026-07-17 15:00:00,3966.33,4003.71,3958.52,3996.01
2026-07-17 16:00:00,3995.87,4003.75,3989.13,4000.62
2026-07-17 17:00:00,4000.54,4020.95,3996.93,4018.43
2026-07-17 18:00:00,4018.55,4023.81,4010.13,4014.6
2026-07-17 19:00:00,4014.66,4018.55,4007.73,4009.27
2026-07-17 20:00:00,4009.25,4016.18,4005.78,4010.72
2026-07-17 21:00:00,4010.85,4016.25,4001.86,4015.14
2026-07-17 22:00:00,4015.32,4018.6,4008.09,4015.26
2026-07-20 01:00:00,3991.66,3996.26,3988.71,3995.54
2026-07-20 02:00:00,3996.05,4010.11,3982.1,4008.65
2026-07-20 03:00:00,4008.82,4020.38,3995.03,4001.83
2026-07-20 04:00:00,4001.91,4028.43,4000.91,4021.51
2026-07-20 05:00:00,4021.42,4028.01,4017.88,4024.2
2026-07-20 06:00:00,4024.3,4026.87,4017.77,4018.81
2026-07-20 07:00:00,4018.96,4020.85,4004.81,4007.98
2026-07-20 08:00:00,4007.93,4011.84,4002.32,4003.48
2026-07-20 09:00:00,4003.73,4021.8,4001.72,4016.65
2026-07-20 10:00:00,4016.61,4030.54,4016.61,4018.13
2026-07-20 11:00:00,4018.0,4023.28,4014.81,4021.17
2026-07-20 12:00:00,4021.39,4025.67,4017.49,4023.81
2026-07-20 13:00:00,4023.85,4040.39,4019.08,4025.12
2026-07-20 14:00:00,4024.88,4024.91,4006.32,4008.18
2026-07-20 15:00:00,4008.29,4017.57,4005.16,4005.16
